,Week,tesla,datetime,year
0,2/22/15,10,2015-02-22,2015
1,3/1/15,9,2015-03-01,2015
2,3/8/15,9,2015-03-08,2015
3,3/15/15,12,2015-03-15,2015
4,3/22/15,9,2015-03-22,2015
5,3/29/15,11,2015-03-29,2015
6,4/5/15,12,2015-04-05,2015
7,4/12/15,10,2015-04-12,2015
8,4/19/15,10,2015-04-19,2015
9,4/26/15,18,2015-04-26,2015
10,5/3/15,18,2015-05-03,2015
11,5/10/15,13,2015-05-10,2015
12,5/17/15,11,2015-05-17,2015
13,5/24/15,11,2015-05-24,2015
14,5/31/15,10,2015-05-31,2015
15,6/7/15,11,2015-06-07,2015
16,6/14/15,11,2015-06-14,2015
17,6/21/15,11,2015-06-21,2015
18,6/28/15,11,2015-06-28,2015
19,7/5/15,11,2015-07-05,2015
20,7/12/15,12,2015-07-12,2015
21,7/19/15,13,2015-07-19,2015
22,7/26/15,12,2015-07-26,2015
23,8/2/15,13,2015-08-02,2015
24,8/9/15,12,2015-08-09,2015
25,8/16/15,12,2015-08-16,2015
26,8/23/15,14,2015-08-23,2015
27,8/30/15,15,2015-08-30,2015
28,9/6/15,12,2015-09-06,2015
29,9/13/15,12,2015-09-13,2015
30,9/20/15,12,2015-09-20,2015
31,9/27/15,20,2015-09-27,2015
32,10/4/15,13,2015-10-04,2015
33,10/11/15,14,2015-10-11,2015
34,10/18/15,14,2015-10-18,2015
35,10/25/15,11,2015-10-25,2015
36,11/1/15,11,2015-11-01,2015
37,11/8/15,10,2015-11-08,2015
38,11/15/15,10,2015-11-15,2015
39,11/22/15,11,2015-11-22,2015
40,11/29/15,10,2015-11-29,2015
41,12/6/15,10,2015-12-06,2015
42,12/13/15,9,2015-12-13,2015
43,12/20/15,10,2015-12-20,2015
44,12/27/15,11,2015-12-27,2015
45,1/3/16,11,2016-01-03,2016
46,1/10/16,11,2016-01-10,2016
47,1/17/16,9,2016-01-17,2016
48,1/24/16,11,2016-01-24,2016
49,1/31/16,13,2016-01-31,2016
50,2/7/16,15,2016-02-07,2016
51,2/14/16,12,2016-02-14,2016
52,2/21/16,11,2016-02-21,2016
53,2/28/16,11,2016-02-28,2016
54,3/6/16,11,2016-03-06,2016
55,3/13/16,11,2016-03-13,2016
56,3/20/16,14,2016-03-20,2016
57,3/27/16,65,2016-03-27,2016
58,4/3/16,36,2016-04-03,2016
59,4/10/16,19,2016-04-10,2016
60,4/17/16,15,2016-04-17,2016
61,4/24/16,14,2016-04-24,2016
62,5/1/16,15,2016-05-01,2016
63,5/8/16,14,2016-05-08,2016
64,5/15/16,13,2016-05-15,2016
65,5/22/16,14,2016-05-22,2016
66,5/29/16,13,2016-05-29,2016
67,6/5/16,14,2016-06-05,2016
68,6/12/16,12,2016-06-12,2016
69,6/19/16,15,2016-06-19,2016
70,6/26/16,18,2016-06-26,2016
71,7/3/16,14,2016-07-03,2016
72,7/10/16,14,2016-07-10,2016
73,7/17/16,14,2016-07-17,2016
74,7/24/16,13,2016-07-24,2016
75,7/31/16,13,2016-07-31,2016
76,8/7/16,12,2016-08-07,2016
77,8/14/16,11,2016-08-14,2016
78,8/21/16,14,2016-08-21,2016
79,8/28/16,13,2016-08-28,2016
80,9/4/16,11,2016-09-04,2016
81,9/11/16,12,2016-09-11,2016
82,9/18/16,12,2016-09-18,2016
83,9/25/16,13,2016-09-25,2016
84,10/2/16,12,2016-10-02,2016
85,10/9/16,12,2016-10-09,2016
86,10/16/16,17,2016-10-16,2016
87,10/23/16,15,2016-10-23,2016
88,10/30/16,15,2016-10-30,2016
89,11/6/16,13,2016-11-06,2016
90,11/13/16,13,2016-11-13,2016
91,11/20/16,13,2016-11-20,2016
92,11/27/16,12,2016-11-27,2016
93,12/4/16,11,2016-12-04,2016
94,12/11/16,12,2016-12-11,2016
95,12/18/16,12,2016-12-18,2016
96,12/25/16,14,2016-12-25,2016
97,1/1/17,13,2017-01-01,2017
98,1/8/17,12,2017-01-08,2017
99,1/15/17,13,2017-01-15,2017
100,1/22/17,12,2017-01-22,2017
101,1/29/17,12,2017-01-29,2017
102,2/5/17,13,2017-02-05,2017
103,2/12/17,13,2017-02-12,2017
104,2/19/17,15,2017-02-19,2017
105,2/26/17,14,2017-02-26,2017
106,3/5/17,13,2017-03-05,2017
107,3/12/17,13,2017-03-12,2017
108,3/19/17,13,2017-03-19,2017
109,3/26/17,15,2017-03-26,2017
110,4/2/17,17,2017-04-02,2017
111,4/9/17,18,2017-04-09,2017
112,4/16/17,16,2017-04-16,2017
113,4/23/17,16,2017-04-23,2017
114,4/30/17,17,2017-04-30,2017
115,5/7/17,18,2017-05-07,2017
116,5/14/17,16,2017-05-14,2017
117,5/21/17,15,2017-05-21,2017
118,5/28/17,16,2017-05-28,2017
119,6/4/17,17,2017-06-04,2017
120,6/11/17,16,2017-06-11,2017
121,6/18/17,16,2017-06-18,2017
122,6/25/17,16,2017-06-25,2017
123,7/2/17,28,2017-07-02,2017
124,7/9/17,22,2017-07-09,2017
125,7/16/17,19,2017-07-16,2017
126,7/23/17,27,2017-07-23,2017
127,7/30/17,30,2017-07-30,2017
128,8/6/17,20,2017-08-06,2017
129,8/13/17,17,2017-08-13,2017
130,8/20/17,16,2017-08-20,2017
131,8/27/17,16,2017-08-27,2017
132,9/3/17,15,2017-09-03,2017
133,9/10/17,17,2017-09-10,2017
134,9/17/17,17,2017-09-17,2017
135,9/24/17,16,2017-09-24,2017
136,10/1/17,17,2017-10-01,2017
137,10/8/17,17,2017-10-08,2017
138,10/15/17,16,2017-10-15,2017
139,10/22/17,17,2017-10-22,2017
140,10/29/17,17,2017-10-29,2017
141,11/5/17,16,2017-11-05,2017
142,11/12/17,37,2017-11-12,2017
143,11/19/17,31,2017-11-19,2017
144,11/26/17,20,2017-11-26,2017
145,12/3/17,18,2017-12-03,2017
146,12/10/17,17,2017-12-10,2017
147,12/17/17,19,2017-12-17,2017
148,12/24/17,20,2017-12-24,2017
149,12/31/17,18,2017-12-31,2017
150,1/7/18,18,2018-01-07,2018
151,1/14/18,18,2018-01-14,2018
152,1/21/18,19,2018-01-21,2018
153,1/28/18,18,2018-01-28,2018
154,2/4/18,37,2018-02-04,2018
155,2/11/18,22,2018-02-11,2018
156,2/18/18,18,2018-02-18,2018
157,2/25/18,17,2018-02-25,2018
158,3/4/18,17,2018-03-04,2018
159,3/11/18,16,2018-03-11,2018
160,3/18/18,17,2018-03-18,2018
161,3/25/18,24,2018-03-25,2018
162,4/1/18,22,2018-04-01,2018
163,4/8/18,18,2018-04-08,2018
164,4/15/18,19,2018-04-15,2018
165,4/22/18,17,2018-04-22,2018
166,4/29/18,21,2018-04-29,2018
167,5/6/18,21,2018-05-06,2018
168,5/13/18,20,2018-05-13,2018
169,5/20/18,20,2018-05-20,2018
170,5/27/18,18,2018-05-27,2018
171,6/3/18,18,2018-06-03,2018
172,6/10/18,20,2018-06-10,2018
173,6/17/18,19,2018-06-17,2018
